mz_rt,weight,log2FC,tstat,pval,padj,abs_weight,neglog10_padj
722.4639735_517.107,0.1552313255668375,1.0700263542681467,9.21173204456634,1.624583108863797e-10,6.620176168619974e-08,0.1552313255668375,7.179130453454326
909.5374666_448.293,0.1420115598382676,1.0651300833848043,8.607108724348473,7.774742877238167e-10,1.5841038612372766e-07,0.1420115598382676,6.80021634744128
793.5384616_370.5865,0.1409857103735808,0.7965723152175466,9.216559898051765,1.604707973525015e-10,6.620176168619974e-08,0.1409857103735808,7.179130453454326
933.5381326_449.5565,0.1363259479087183,1.0306203729237946,8.989929060906425,2.8692940976405926e-10,7.79491563192361e-08,0.1363259479087183,7.108188581025276
834.5534523_401.558,0.135182775129904,1.1025497970106506,8.345542563036668,1.5530542866573086e-09,2.531478487251413e-07,0.135182775129904,6.596625758937895
877.6314145_553.648,0.1328054259467608,0.8222812671765997,8.08147908545048,3.1503538682235672e-09,4.2792306710036794e-07,0.1328054259467608,6.36863430233497
867.5377864_460.837,0.1315806967307912,0.8609955391079683,7.070621203183552,5.098884589452435e-08,4.741532085481059e-06,0.1315806967307912,5.324081306266771
720.4484364_220.315,0.1261446610177812,0.6167223087580629,7.671650401119165,9.603554109155446e-09,1.1181280855659555e-06,0.1261446610177812,5.951508443615734
456.2015928_95.0881,0.1229695363608714,0.9836431995180231,6.906709918282184,8.09225239770724e-08,5.495988086776167e-06,0.1229695363608714,5.259954217333692
905.6624585_599.528,0.1225106776733056,0.857331630918418,7.011532804946705,6.020809537218366e-08,4.866591710727586e-06,0.1225106776733056,5.312775087949216
694.4324226_507.648,0.1222399120900084,0.8343718405637701,6.803728614793718,1.0831070129027521e-07,6.7902478116595605e-06,0.1222399120900084,5.168114375753017
754.4914151_257.788,0.1170795820859167,0.6021676629939409,6.209537549532343,5.925960901495863e-07,2.6831434081772935e-05,0.1170795820859167,4.571356114612583
852.5618728_482.6335,0.1144663675616011,0.7188251808031512,5.482859184279709,4.8738835674466475e-06,0.0001588886042987,0.1144663675616011,3.7989072498515597
878.5699182_483.2195,0.1137184592696659,1.5497907452188877,6.980633574065443,6.568405989939075e-08,4.866591710727586e-06,0.1137184592696659,5.312775087949216
750.4583388_157.074,0.1118149567721685,0.8076227019635943,5.717864055713374,2.46035008860281e-06,8.718197053092566e-05,0.1118149567721685,4.059573319064196
711.4317479_243.7275,0.1112458264477255,1.1185978416959812,6.590131314896578,1.9887676425496362e-07,1.1577468776271096e-05,0.1112458264477255,4.936386381598284
957.5435099_440.173,0.1092148063381037,0.7065373474366562,6.256918560794618,5.169917979134896e-07,2.6334269706218377e-05,0.1092148063381037,4.579478720859081
821.5697286_440.239,0.1090337656503413,0.6050480196324369,6.416558017166438,3.267827773640484e-07,1.7755197570113293e-05,0.1090337656503413,4.750674490744365
902.5794399_509.7355,0.1078005656419988,0.7511857113381027,7.061175353914657,5.236047701758226e-08,4.741532085481059e-06,0.1078005656419988,5.324081306266771
708.4477359_406.021,0.1057658727917074,0.7154960238990501,5.124611164310153,1.3830827532786863e-05,0.0004174860903415,0.1057658727917074,3.379357989614067
794.5230304_314.3895,0.1051225147653272,0.6032417476564278,4.754531068465491,4.050513871568938e-05,0.0011003896017762,0.1051225147653272,2.9584535221650827
568.3259661_141.257,0.1038458475896606,0.84870751560868,4.9044590247620095,2.62273835788741e-05,0.00073707991782,0.1038458475896606,3.1324854212500868
684.4115898_214.242,0.1009122470876054,0.5028361306967555,6.1468197782878295,7.100935099906899e-07,3.045927424433749e-05,0.1009122470876054,4.516280448847463
624.390218_177.9295,0.0998218709193681,0.5084106871740753,4.976737461652118,2.126146579358483e-05,0.0006188605222061,0.0998218709193681,3.20840722054662
754.469155_226.6915,0.0981868785272501,1.2045921674225617,5.4314742681140995,5.660376797916456e-06,0.0001774310419346,0.0981868785272501,3.7509703971224373
729.3858183_153.916,0.0956138907446739,0.6714740384106148,4.421735897758085,0.0001056969941115,0.0026103954606325,0.0956138907446739,2.583293694439294
824.5325615_439.411,0.095096947739866,0.9294760501615804,5.864561871090653,1.6070474417260096e-06,6.236874595269989e-05,0.095096947739866,4.205032988212743
698.4264051_216.154,0.0942576527389921,0.4409140859820346,6.001556556147658,1.080554141627166e-06,4.403258127130702e-05,0.0942576527389921,4.356225854648905
698.4282958_173.568,0.0924054063566163,0.5620900525979148,4.273193832179743,0.0001616167222467,0.0035599359089487,0.0924054063566163,2.4485578207463594
726.4589083_160.355,0.0922523180847139,0.7132692154867867,4.334004916522163,0.0001358689486839,0.0031638055193549,0.0922523180847139,2.4997902206443063
740.4749035_242.3805,0.0920340296073945,0.59459518984529,5.726704225480991,2.397955996358199e-06,8.718197053092566e-05,0.0920340296073945,4.059573319064196
824.532344_453.327,0.0915654551674053,0.838742666001595,6.227134348693629,5.632967719688816e-07,2.6831434081772935e-05,0.0915654551674053,4.571356114612583
680.4159666_404.923,0.0911235958335715,0.8074679869803577,4.566690218380766,6.968212959308228e-05,0.0017747167380738,0.0911235958335715,2.7508709546700008
666.4009892_220.2395,0.0896370844952329,0.4265788208498914,5.558631622961643,3.909287270917052e-06,0.0001327528802415,0.0896370844952329,3.8769560475766607
666.4268753_149.834,0.089216679184599,0.7379042686469527,4.28230057343586,0.0001574752921734,0.0035599359089487,0.089216679184599,2.4485578207463594
766.490151_231.565,0.0874241647058156,0.418506650705103,3.738317590173064,0.000726065747606,0.0134487178249748,0.0874241647058156,1.8713191184929143
607.4743317_215.142,-0.0872849722574139,-0.974700690073543,-3.873095809161869,0.0004995832166998,0.0101790080402595,0.0872849722574139,1.9922945425918015
762.4953161_510.524,0.0850243785647187,0.8099675890551593,4.678414530088713,5.047989021423774e-05,0.0013271325975678,0.0850243785647187,2.8770856833788923
862.584842_452.5675,0.083955637091121,0.6106052655518128,3.9366544871655527,0.000418321029396,0.0089718852357312,0.083955637091121,2.0471162903507096
610.3747152_172.583,0.0809510588072428,0.5245233488095917,3.882685308452194,0.0004864031135885,0.0101645778865302,0.0809510588072428,1.9929106519848307
626.5495369_654.8055,0.0802478816055256,1.1022728870094929,3.22616041422808,0.0028911277838227,0.0392711523969257,0.0802478816055256,1.4059263543373606
875.5100661_480.0665,-0.0798108722141647,-0.2045423490956984,-3.630771537295451,0.0009757649737533,0.0169201798640212,0.0798108722141647,1.7715950246577095
570.4863755_567.1875,0.0787668261469808,2.5862362808089574,3.199726187026362,0.0030987391524304,0.0407334259553357,0.0787668261469808,1.3900490612882792
598.5186486_613.122,0.0773265369258043,1.2790445920173314,3.108221380908371,0.0039327598344915,0.0480101597847025,0.0773265369258043,1.3186668486340605
678.4007667_164.875,0.0756057838480376,0.5340376311313706,3.643642356013842,0.0009419798921981,0.0166894263509025,0.0756057838480376,1.777558590637658
620.5384658_613.7205,0.0750719797391851,1.175053592110175,3.008766584710046,0.0050796698957488,0.0551990795338043,0.0750719797391851,1.258068164240413
654.5809378_691.186,0.0748369653808328,1.327923964269231,2.965770612389802,0.0056678771235464,0.0598537158593377,0.0748369653808328,1.2229088823985679
648.5708171_655.0725,0.0745491489117327,0.9800758741973408,2.955592708845685,0.0058162436445964,0.0600030198777985,0.0745491489117327,1.2218268915620254
917.5423671_435.7615,0.0739794376082285,0.5848620834705001,3.445944346374029,0.0016113493644145,0.0260373943852657,0.0739794376082285,1.5844024786568465
656.379988_139.761,0.0738976737870263,0.4777118394376639,3.424032389738529,0.0017090901235772,0.0260373943852657,0.0738976737870263,1.5844024786568465
826.5994694_215.421,-0.0725869552778293,-0.5471626763730737,-3.4205420417399184,0.0017251770512936,0.0260373943852657,0.0725869552778293,1.5844024786568465
670.3950041_141.477,0.0699688523475748,0.4243688979154406,3.832750600924593,0.0005589546463865,0.0111109277269519,0.0699688523475748,1.9542496773440339
907.5426602_494.59,-0.0694576720766416,-0.3786089886911896,-3.4404240308509166,0.001635453402445,0.0260373943852657,0.0694576720766416,1.5844024786568465
630.5622213_690.8145,0.068063302175305,0.7950575176222258,2.82356273050407,0.0081041877588133,0.0750558298117375,0.068063302175305,1.1246155691537263
662.5874158_655.0745,0.0624864544784669,0.7436033212349954,2.4907516659637876,0.0181271719350693,0.1231137093923463,0.0624864544784669,0.909693583283685
860.5594541_446.582,0.0618151887079566,0.5891373491071727,3.7625840441730025,0.0006789850655496,0.0128691355447204,0.0618151887079566,1.8904506248723634
777.4954103_470.1775,-0.0614570042112855,-0.1896492257454983,-3.7024275571643135,0.0008015640949303,0.0145172163859606,0.0614570042112855,1.8381166497592818
718.6374924_711.8785,-0.0601973477136087,-0.3933791077736272,-3.505577967144132,0.001371856647582,0.0232929826620693,0.0601973477136087,1.6327748965774
736.6864052_777.33,-0.0594080811793448,-0.3721580271506721,-4.392824510362245,0.0001148266983287,0.0027524635040558,0.0594080811793448,2.5602784307911817
883.7084644_701.245,-0.0594041422768011,-0.3908956962881865,-3.1644969524854387,0.0033976250931296,0.0426009915523179,0.0594041422768011,1.3705802924304111
1173.763495_553.015,-0.0588432263923316,-0.3066582090167363,-2.8879718349970345,0.0068989580422748,0.068010997782233,0.0588432263923316,1.167420853618175
776.5236222_504.566,0.0582823336390266,0.3993281602741559,2.504319480850538,0.0175584045005398,0.1223085441704268,0.0582823336390266,0.9125432031725769
437.2588803_190.212,0.0578603636995201,0.5780823282920694,2.664386159071717,0.0119801856649756,0.096713664070032,0.0578603636995201,1.0145121628250613
798.5155464_442.974,0.0577098138646402,0.8242264417677975,2.45270615283482,0.0198133066665661,0.1302245559133176,0.0577098138646402,0.8853071149067799
789.4505505_299.418,-0.0575254890360378,-0.3834391772551917,-2.594850596740263,0.0141639465350576,0.1076912726199962,0.0575254890360378,0.9678194908204532
783.4337557_299.4145,-0.0574005577348366,-0.297783580888345,-2.4942404767903463,0.0179793278977274,0.1231137093923463,0.0574005577348366,0.909693583283685
817.5467125_483.895,-0.0571549254593696,-0.715950156053567,-3.7870763749262593,0.0006344823682866,0.0123119792893714,0.0571549254593696,1.9096721237255772
822.5822389_623.724,0.0565644845043295,0.1847874389387958,2.656233985869769,0.0122189972099201,0.096713664070032,0.0565644845043295,1.0145121628250613
580.4001156_268.644,-0.0557983166054006,-0.3271146029901093,-3.017381343792617,0.0049689789227513,0.0547259165140855,0.0557983166054006,1.2618069564173744
823.6310787_664.185,0.0557069368658282,0.1060744119039395,2.591710658521752,0.0142707453287847,0.1076912726199962,0.0557069368658282,0.9678194908204532
559.4747325_230.159,-0.0551843741881225,-0.5293607723174545,-2.241341195425753,0.0320692503298113,0.1782826046210547,0.0551843741881225,0.7488910297110097
581.4567801_230.117,-0.0551153515574436,-0.4263129361209512,-2.1287487964241705,0.0410694834115289,0.2040952986609518,0.0551153515574436,0.6901669991502797
712.4432441_190.82,0.0548313247509356,0.5162795970125265,2.2285840536129258,0.0329916396295034,0.1804576261613777,0.0548313247509356,0.7436247598786736
624.4185457_371.689,-0.0547754477115182,-0.470320128212861,-2.5533601482288875,0.015636545680781,0.1150709865408179,0.0547754477115182,0.9390341635430254
855.5122482_470.143,-0.0546220603025748,-0.1731515541148791,-3.2121665844941996,0.0029993201961742,0.0400728845882297,0.0546220603025748,1.3971493943863529
613.5242986_299.418,-0.0541028941989946,-0.4938042844127686,-2.5523997817737367,0.0156722447926758,0.1150709865408179,0.0541028941989946,0.9390341635430254
826.5615005_512.8285,0.0534727943809774,0.2953447093562525,2.9150240418081284,0.0064448218352189,0.0656566224462929,0.0534727943809774,1.1827214623113103
766.5409282_512.019,0.0534108130206046,0.4756270701411177,3.2973216161077374,0.0023962410733763,0.0348738656214587,0.0534108130206046,1.457499910237438
863.5681801_551.0675,0.0522585500605838,0.2589604621883674,3.284730788363979,0.0024774507806441,0.0354231997583328,0.0522585500605838,1.4507122117901317
726.5480898_596.771,0.0519835930154748,0.3652323078083627,2.6561084672474977,0.0122227084652923,0.096713664070032,0.0519835930154748,1.0145121628250613
722.6696692_766.638,-0.0507926535704931,-0.2343801944957183,-3.177909836328273,0.003280725919616,0.041777994132611,0.0507926535704931,1.3790524154339987
889.6210461_665.035,0.0507882096455156,0.149781520880474,2.3435725679333705,0.0254752151992773,0.1561075217098576,0.0507882096455156,0.8065761708748895
720.6451496_712.629,-0.0507244997095507,-0.3067119119019083,-2.2483497530767194,0.0315724152982051,0.1774587480554287,0.0507244997095507,0.7509025866880169
849.5991525_623.843,0.0506999167603455,0.1734322816493497,2.310543880978798,0.0274576150255913,0.1598425446132636,0.0506999167603455,0.7963076153123966
648.6331131_719.314,-0.0502487690281903,-0.6714181489539495,-3.3805850561316726,0.0019200341179753,0.0284514146572718,0.0502487690281903,1.5458961348023839
794.5015192_462.457,0.05010400497242,0.4829091415324155,3.230588384062128,0.0028576769077342,0.0392711523969257,0.05010400497242,1.4059263543373606
710.670423_762.6835,-0.0498721008187345,-0.4324326707743513,-2.392972364586092,0.0227515676927209,0.1437405245702913,0.0498721008187345,0.8424207745511565
480.309807_142.447,-0.049869134530715,-0.273230848712033,-2.1956965548432934,0.0354801056316348,0.1856146160074469,0.049869134530715,0.7313878287558644
823.5854466_623.9275,0.0497997743889981,0.1648729433750681,2.6479047119622403,0.0124675517007991,0.0977024484245317,0.0497997743889981,1.0100945527199194
771.5195685_469.906,-0.0494555722197552,-0.2680049186872857,-2.7229734670086527,0.0103873246220546,0.091422542726811,0.0494555722197552,1.038946703886044
1035.667136_142.74,-0.0493447078178998,-0.2863123862306379,-1.9124449863660995,0.0648058861602241,0.2774510509035523,0.0493447078178998,0.5568136258660366
873.6001973_604.262,0.0489526698095959,0.4141823308034645,3.0429125073402985,0.0046541888349796,0.0519611493220329,0.0489526698095959,1.28432125138853
680.6217632_671.848,-0.0486608393275802,-0.3018271789218238,-2.4177445040397187,0.0214879505788562,0.1389895216013322,0.0486608393275802,0.8570179399060127
710.6247689_736.595,-0.0484434737743879,-0.3544653910671946,-2.744168106371981,0.0098613780656664,0.0883189354232762,0.0484434737743879,1.0539461744720227
953.5382747_515.8325,-0.0483601204284003,-0.105680006793121,-2.96159346941469,0.0057283310883783,0.0598537158593377,0.0483601204284003,1.2229088823985679
692.6137842_680.59,-0.0481394362977787,-0.2726320525863832,-2.6936426504325257,0.0111583610530133,0.0937532397753182,0.0481394362977787,1.028013715683099
908.639557_644.363,0.047931970877169,0.3070137505573264,2.622756044258443,0.0132467377597709,0.1018499176812575,0.047931970877169,0.9920393176759925
923.6663137_670.1235,-0.0478758222281975,-0.2495823565814673,-2.5361804899845386,0.0162866042098529,0.1166685696829047,0.0478758222281975,0.9330461264032949
955.5438678_515.77,-0.0477836872634035,-0.1081753503325723,-2.482092046216387,0.0184989668156697,0.1246004789650484,0.0477836872634035,0.9044802882428384
941.6981486_715.019,-0.0476402891416329,-0.2301654922443242,-2.6952514882797427,0.0111147248722339,0.0937532397753182,0.0476402891416329,1.028013715683099
706.637785_722.836,-0.047512600447487,-0.3917627711765504,-3.185110174007584,0.0032195639585148,0.0416499147014226,0.047512600447487,1.3803858836867113
850.5526003_485.486,0.0472349715886901,0.3072502023616361,2.7666126931773967,0.0093315649984389,0.0845025052636418,0.0472349715886901,1.0731304152391032
846.5822897_603.5555,0.0471454594990916,0.1575263563342231,3.046920035556517,0.0046065272249088,0.0519611493220329,0.0471454594990916,1.28432125138853
844.5911272_576.6665,-0.0467131859213927,-0.218008999753567,-2.10974983860441,0.0427920014552132,0.2088352166826272,0.0467131859213927,0.6801962627517396
585.4882603_299.416,-0.0466090031381205,-0.4147981587258243,-2.082963657647522,0.0453291123325836,0.2135446621448303,0.0466090031381205,0.6705112799150711
708.653802_752.849,-0.0465247998681166,-0.2315100951333181,-3.4230497887798785,0.0017136042451157,0.0260373943852657,0.0465247998681166,1.5844024786568465
331.2648783_287.446,-0.0464393300297794,-0.3598602511802131,-2.1806465972629647,0.0366738195793531,0.187982156963351,0.0464393300297794,0.7258833714816101
700.6036242_689.766,-0.0463635905306832,-0.1946854623451417,-2.707108339585272,0.0107979959300174,0.0926590110968147,0.0463635905306832,1.0331123391154697
930.8527467_848.2505,-0.0459840392206583,-0.3020867511046321,-1.8597126842035403,0.0721407556633227,0.2939735793280402,0.0459840392206583,0.5316916997499161
952.8378156_813.081,-0.0457968409910662,-0.2128887779174594,-2.535333578556502,0.0163192845936823,0.1166685696829047,0.0457968409910662,0.9330461264032949
409.2366206_139.727,-0.0457161482515764,-0.2665072242998547,-1.8354640897010692,0.0757459578492404,0.2996745419763639,0.0457161482515764,0.5233501497764101
327.2334131_220.233,-0.0456872973008331,-0.9728216950660676,-2.0576882280245337,0.0478439471543844,0.2228160967475617,0.0456872973008331,0.6520534379322253
887.6064927_632.9575,0.0454045605612322,0.1093726206807686,2.6832266141090826,0.011444749424095,0.0942168765720957,0.0454045605612322,1.0258712973593855
684.6082772_719.041,-0.0445921488404581,-0.5155979361960916,-2.831712213435141,0.0079414573763509,0.0749658001596889,0.0445921488404581,1.1251368191333924
874.7906834_805.1565,-0.0445886836232406,-0.2821752492154787,-2.3493169313416584,0.0251439760250232,0.1561075217098576,0.0445886836232406,0.8065761708748895
634.4479772_425.7605,-0.0444449475082902,-0.2005350415020866,-3.045860148498142,0.0046190872833155,0.0519611493220329,0.0444449475082902,1.28432125138853
