feature,log2FC,tstat,pval,padj
722.4639735_517.107,1.0700263542681467,9.21173204456634,1.624583108863797e-10,6.620176168619974e-08
793.5384616_370.5865,0.7965723152175466,9.216559898051765,1.604707973525015e-10,6.620176168619974e-08
933.5381326_449.5565,1.0306203729237946,8.989929060906425,2.8692940976405926e-10,7.79491563192361e-08
909.5374666_448.293,1.0651300833848043,8.607108724348473,7.774742877238167e-10,1.5841038612372766e-07
834.5534523_401.558,1.1025497970106506,8.345542563036668,1.5530542866573086e-09,2.531478487251413e-07
877.6314145_553.648,0.8222812671765997,8.08147908545048,3.1503538682235672e-09,4.2792306710036794e-07
720.4484364_220.315,0.6167223087580629,7.671650401119165,9.603554109155446e-09,1.1181280855659555e-06
902.5794399_509.7355,0.7511857113381027,7.061175353914657,5.236047701758226e-08,4.741532085481059e-06
867.5377864_460.837,0.8609955391079683,7.070621203183552,5.098884589452435e-08,4.741532085481059e-06
878.5699182_483.2195,1.5497907452188877,6.980633574065443,6.568405989939075e-08,4.866591710727586e-06
905.6624585_599.528,0.857331630918418,7.011532804946705,6.020809537218366e-08,4.866591710727586e-06
456.2015928_95.0881,0.9836431995180231,6.906709918282184,8.09225239770724e-08,5.495988086776167e-06
694.4324226_507.648,0.8343718405637701,6.803728614793718,1.0831070129027521e-07,6.7902478116595605e-06
711.4317479_243.7275,1.1185978416959812,6.590131314896578,1.9887676425496362e-07,1.1577468776271096e-05
821.5697286_440.239,0.6050480196324369,6.416558017166438,3.267827773640484e-07,1.7755197570113293e-05
957.5435099_440.173,0.7065373474366562,6.256918560794618,5.169917979134896e-07,2.6334269706218377e-05
824.532344_453.327,0.838742666001595,6.227134348693629,5.632967719688816e-07,2.6831434081772935e-05
754.4914151_257.788,0.6021676629939409,6.209537549532343,5.925960901495863e-07,2.6831434081772935e-05
684.4115898_214.242,0.5028361306967555,6.1468197782878295,7.100935099906899e-07,3.045927424433749e-05
698.4264051_216.154,0.4409140859820346,6.001556556147658,1.080554141627166e-06,4.403258127130702e-05
824.5325615_439.411,0.9294760501615804,5.864561871090653,1.6070474417260096e-06,6.236874595269989e-05
740.4749035_242.3805,0.59459518984529,5.726704225480991,2.397955996358199e-06,8.718197053092566e-05
750.4583388_157.074,0.8076227019635943,5.717864055713374,2.46035008860281e-06,8.718197053092566e-05
666.4009892_220.2395,0.4265788208498914,5.558631622961643,3.909287270917052e-06,0.0001327528802415
852.5618728_482.6335,0.7188251808031512,5.482859184279709,4.8738835674466475e-06,0.0001588886042987
754.469155_226.6915,1.2045921674225617,5.4314742681140995,5.660376797916456e-06,0.0001774310419346
708.4477359_406.021,0.7154960238990501,5.124611164310153,1.3830827532786863e-05,0.0004174860903415
624.390218_177.9295,0.5084106871740753,4.976737461652118,2.126146579358483e-05,0.0006188605222061
568.3259661_141.257,0.84870751560868,4.9044590247620095,2.62273835788741e-05,0.00073707991782
794.5230304_314.3895,0.6032417476564278,4.754531068465491,4.050513871568938e-05,0.0011003896017762
762.4953161_510.524,0.8099675890551593,4.678414530088713,5.047989021423774e-05,0.0013271325975678
680.4159666_404.923,0.8074679869803577,4.566690218380766,6.968212959308228e-05,0.0017747167380738
729.3858183_153.916,0.6714740384106148,4.421735897758085,0.0001056969941115,0.0026103954606325
736.6864052_777.33,-0.3721580271506721,-4.392824510362245,0.0001148266983287,0.0027524635040558
726.4589083_160.355,0.7132692154867867,4.334004916522163,0.0001358689486839,0.0031638055193549
666.4268753_149.834,0.7379042686469527,4.28230057343586,0.0001574752921734,0.0035599359089487
698.4282958_173.568,0.5620900525979148,4.273193832179743,0.0001616167222467,0.0035599359089487
862.584842_452.5675,0.6106052655518128,3.9366544871655527,0.000418321029396,0.0089718852357312
610.3747152_172.583,0.5245233488095917,3.882685308452194,0.0004864031135885,0.0101645778865302
607.4743317_215.142,-0.974700690073543,-3.873095809161869,0.0004995832166998,0.0101790080402595
670.3950041_141.477,0.4243688979154406,3.832750600924593,0.0005589546463865,0.0111109277269519
817.5467125_483.895,-0.715950156053567,-3.7870763749262593,0.0006344823682866,0.0123119792893714
860.5594541_446.582,0.5891373491071727,3.7625840441730025,0.0006789850655496,0.0128691355447204
766.490151_231.565,0.418506650705103,3.738317590173064,0.000726065747606,0.0134487178249748
777.4954103_470.1775,-0.1896492257454983,-3.7024275571643135,0.0008015640949303,0.0145172163859606
678.4007667_164.875,0.5340376311313706,3.643642356013842,0.0009419798921981,0.0166894263509025
875.5100661_480.0665,-0.2045423490956984,-3.630771537295451,0.0009757649737533,0.0169201798640212
718.6374924_711.8785,-0.3933791077736272,-3.505577967144132,0.001371856647582,0.0232929826620693
907.5426602_494.59,-0.3786089886911896,-3.4404240308509166,0.001635453402445,0.0260373943852657
708.653802_752.849,-0.2315100951333181,-3.4230497887798785,0.0017136042451157,0.0260373943852657
