mz_rt,weight,log2FC,tstat,pval,padj,abs_weight,neglog10_padj
835.5892176_517.3195,0.1335127576611089,1.0945437051691385,8.745826861504414,5.405858760061657e-10,1.908268142301765e-07,0.1335127576611089,6.719360599998852
836.5930738_517.897,0.1298350618891095,1.0772655228552082,8.130853904512962,2.7582739335174302e-09,6.49113799021102e-07,0.1298350618891095,6.187679158431623
828.5374557_463.2,0.125379044428429,1.170170671285443,7.2609549279729295,2.9924516418845844e-08,2.640838573963145e-06,0.125379044428429,5.578258145017873
837.6064344_556.127,0.1241352327599239,0.7003653226397331,7.090629067301119,4.820244244698447e-08,3.4030924367571028e-06,0.1241352327599239,5.4681262541870845
790.5621269_401.5705,0.1208887330956384,1.0984932459210324,7.699996145125446,8.885290955778392e-09,1.2546030829559088e-06,0.1208887330956384,5.901493649598705
738.4948422_242.2565,0.1204431420191184,0.644983719679886,9.178642663651402,1.7677375401130863e-10,1.2480227033198388e-07,0.1204431420191184,6.903777514143304
809.5743296_507.218,0.1201298949034926,0.6985073794370881,7.563132867829804,1.2943511046625894e-08,1.5230197998196469e-06,0.1201298949034926,5.8172944506386655
606.4164236_190.0735,0.1164374735344376,0.764070675946745,6.938348798633438,7.400499634824258e-08,4.749775220169023e-06,0.1164374735344376,5.323326942575157
524.3355338_141.03,0.1106542759211582,0.8810023990802874,6.417286693410494,3.261006167648458e-07,1.7709771956613937e-05,0.1106542759211582,4.75178703105283
860.6026643_534.09,0.1101122631468786,1.0341465186158918,7.505490573055797,1.5175456506287565e-08,1.530553184777003e-06,0.1101122631468786,5.81515157462342
833.5750724_482.188,0.1096960620658043,1.1105235198178909,7.80986925056164,6.579577170056895e-09,1.161295370515042e-06,0.1096960620658043,5.935057305265764
766.5263256_322.664,0.1095104580417155,0.6717428387938329,7.187155818934079,3.6776742572173955e-08,2.8849311395505342e-06,0.1095104580417155,5.539864548563755
758.4997015_284.0105,0.109212306092864,2.2268239657784945,6.497664501250028,2.590308343377225e-07,1.5239647420202672e-05,0.109212306092864,4.8170250805838
568.3268475_77.8256,0.1089676072837501,1.2642887796956093,6.329595307470367,4.194585606557259e-07,1.9742516254862832e-05,0.1089676072837501,4.7045974957414245
666.4355608_507.1925,0.1088931306940063,0.8387572838636305,6.110739120979958,7.880521451284048e-07,3.3220326231624895e-05,0.1088931306940063,4.478596106987007
808.5708103_483.549,0.1059046666902671,0.7571576690499267,6.3905855702657055,3.52061104823091e-07,1.7753938571793017e-05,0.1059046666902671,4.750705287101746
734.5003442_237.328,0.1056274879070743,0.9172102314613928,5.549275661555773,4.01718129722817e-06,0.0001153256825065,0.1056274879070743,3.9380739665230364
856.5719936_451.673,0.1031937610103243,1.012270714398368,6.015410391228636,1.0380924409036687e-06,4.071629240433278e-05,0.1031937610103243,4.390231775407262
626.4033265_217.0095,0.1012633550644875,1.0678229892365143,6.105562669191611,7.999228696000329e-07,3.3220326231624895e-05,0.1012633550644875,4.478596106987007
550.3510686_152.965,0.1011647300171998,0.8029998245055178,5.643342562851551,3.0554706326389512e-06,0.0001027220126972,0.1011647300171998,3.988336479786084
624.3901883_161.661,0.0997890182646878,0.7372918024985391,5.543626267489388,4.083770627003573e-06,0.0001153256825065,0.0997890182646878,3.9380739665230364
830.5569207_427.1375,0.0985914674613856,1.613585719135478,5.146776180216247,1.2966898284599962e-05,0.0002953106512557,0.0985914674613856,3.5297208886320988
682.4687366_255.9215,0.0981626472285997,0.7018260543197824,4.661921971855579,5.294336431715635e-05,0.0009344503801978,0.0981626472285997,3.0294437549362203
