feature,log2FC,tstat,pval,padj
738.4948422_242.2565,0.644983719679886,9.178642663651402,1.7677375401130863e-10,1.2480227033198388e-07
835.5892176_517.3195,1.0945437051691385,8.745826861504414,5.405858760061657e-10,1.908268142301765e-07
836.5930738_517.897,1.0772655228552082,8.130853904512962,2.7582739335174302e-09,6.49113799021102e-07
833.5750724_482.188,1.1105235198178909,7.80986925056164,6.579577170056895e-09,1.161295370515042e-06
790.5621269_401.5705,1.0984932459210324,7.699996145125446,8.885290955778392e-09,1.2546030829559088e-06
809.5743296_507.218,0.6985073794370881,7.563132867829804,1.2943511046625894e-08,1.5230197998196469e-06
860.6026643_534.09,1.0341465186158918,7.505490573055797,1.5175456506287565e-08,1.530553184777003e-06
828.5374557_463.2,1.170170671285443,7.2609549279729295,2.9924516418845844e-08,2.640838573963145e-06
766.5263256_322.664,0.6717428387938329,7.187155818934079,3.6776742572173955e-08,2.8849311395505342e-06
837.6064344_556.127,0.7003653226397331,7.090629067301119,4.820244244698447e-08,3.4030924367571028e-06
606.4164236_190.0735,0.764070675946745,6.938348798633438,7.400499634824258e-08,4.749775220169023e-06
758.4997015_284.0105,2.2268239657784945,6.497664501250028,2.590308343377225e-07,1.5239647420202672e-05
524.3355338_141.03,0.8810023990802874,6.417286693410494,3.261006167648458e-07,1.7709771956613937e-05
808.5708103_483.549,0.7571576690499267,6.3905855702657055,3.52061104823091e-07,1.7753938571793017e-05
568.3268475_77.8256,1.2642887796956093,6.329595307470367,4.194585606557259e-07,1.9742516254862832e-05
666.4355608_507.1925,0.8387572838636305,6.110739120979958,7.880521451284048e-07,3.3220326231624895e-05
626.4033265_217.0095,1.0678229892365143,6.105562669191611,7.999228696000329e-07,3.3220326231624895e-05
856.5719936_451.673,1.012270714398368,6.015410391228636,1.0380924409036687e-06,4.071629240433278e-05
856.5734225_470.6815,0.828218435553147,5.948525772316265,1.259883773289715e-06,4.681462862855468e-05
708.4461759_150.006,0.7007354372230177,5.683877716878582,2.715783209484298e-06,9.586714729479571e-05
550.3510686_152.965,0.8029998245055178,5.643342562851551,3.0554706326389512e-06,0.0001027220126972
780.5409317_439.506,1.017466161909795,5.612418618014396,3.343009947676618e-06,0.0001072802283208
734.5003442_237.328,0.9172102314613928,5.549275661555773,4.01718129722817e-06,0.0001153256825065
624.3901883_161.661,0.7372918024985391,5.543626267489388,4.083770627003573e-06,0.0001153256825065
698.4635941_181.67,0.3313289671959843,5.558413613615503,3.911768025441857e-06,0.0001153256825065
666.3996881_131.65,0.4687478627833322,5.4694070221230575,5.068537190532388e-06,0.0001376302790967
732.6160842_761.338,-1.094598483441361,-5.350656412266266,7.162208810451783e-06,0.0001872784970436
750.4945063_241.3985,0.5608674730719604,5.211525706555351,1.0739522510657947e-05,0.0002614518238801
496.3059373_93.5042,1.101423912752481,5.21601218369902,1.06001638581516e-05,0.0002614518238801
722.4629286_162.2525,0.5520654821213089,5.1583615877926094,1.2536979222278807e-05,0.0002950369110309
830.5569207_427.1375,1.613585719135478,5.146776180216247,1.2966898284599962e-05,0.0002953106512557
548.33497_114.867,0.7876001016896252,5.084661551221454,1.5535484636933174e-05,0.0003427516298023
832.5716772_472.926,1.1596963351797478,5.035177913846124,1.7940044575340504e-05,0.0003838082263694
412.2105066_44.82875,0.6858767428270334,4.974072082155288,2.1426760213849663e-05,0.0004449203738522
570.3327193_77.3872,1.3212481294998628,4.938855844870301,2.3734666440347634e-05,0.0004787621287681
652.4199587_140.218,0.8531630725214701,4.82847398932267,3.269510547469762e-05,0.0006238579585172
610.3734044_131.484,0.7315393704272021,4.829345383683146,3.261261711571137e-05,0.0006238579585172
572.3487961_96.01855,1.1077764680030142,4.808027100759898,3.4691286617792865e-05,0.0006445275882147
732.4834155_257.9915,0.7854832257223243,4.768579193864681,3.8890800265371015e-05,0.0007040232048038
682.4687366_255.9215,0.7018260543197824,4.661921971855579,5.294336431715635e-05,0.0009344503801978
542.3112289_72.14785,0.7456526747943454,4.544314970573898,7.432020891980441e-05,0.0012797577438385
726.4740825_254.405,0.9085263833395186,4.494190269335068,8.584775203438834e-05,0.0014430598318161
828.5396901_301.01,0.917615724046098,4.457312019671257,9.544122331106556e-05,0.0015670117129677
818.592961_452.333,0.798065515327622,4.398680086367502,0.0001129168505724,0.0018118021932764
654.4365647_174.175,0.6610291809110419,4.32018559088089,0.0001413397151548,0.0021696669154517
680.4517032_215.176,0.8249380196020722,4.319586166527939,0.0001415818633269,0.0021696669154517
652.3842637_132.7375,0.4165546556376283,4.312587365216284,0.0001444395821901,0.0021696669154517
771.639778_668.276,-0.2941107985286108,-4.234492169070343,0.0001804456996642,0.0026540554992283
694.4319813_200.8635,0.4621215646233127,4.225383458676287,0.0001851818656677,0.0026681305543146
568.4303239_440.1145,-0.5300723445855255,-4.09002261509177,0.000271779134564,0.003837521380045
